AccountOID,ConsumptionDate,Consumption
29330,2020-01-28,1.452
268752,2020-02-26,0.856
261206,2018-12-27,1.235
13942,2020-06-27,1.279
13155,2019-10-06,0.002
68102,2019-10-25,0.007
250095,2020-01-18,0.318
254525,2019-12-08,0.000
249860,2020-12-07,1.456
250199,2020-05-30,4.396
136212,2020-11-21,1.608
151568,2019-12-17,3.432
1004,2018-12-30,0.764
253374,2020-09-04,0.697
255254,2020-04-02,0.782
251229,2019-06-03,5.780
29401,2019-09-30,1.457
250197,2020-10-25,6.191
12857,2020-04-28,1.437
269089,2020-06-21,0.777
256156,2021-03-04,2.790
263528,2019-02-18,1.207
246272,2020-11-22,0.008
6562,2019-07-25,0.272
12857,2019-04-23,1.991
136482,2019-07-02,0.322
1004,2019-12-31,0.794
72238,2021-02-11,0.244
40839,2019-07-21,0.342
255086,2019-11-17,0.111
245302,2020-02-28,4.175
250095,2020-03-09,0.539
139516,2020-01-15,53.980
258102,2020-04-25,0.954
246272,2019-02-21,3.826
9953,2020-03-07,0.435
262462,2020-05-11,2.606
44788,2020-01-09,1.197
261100,2021-03-09,1.094
246032,2020-03-04,1.216
151568,2020-05-09,3.962
261986,2020-08-15,0.912
13964,2020-02-13,2.080
260221,2021-03-04,1.240
6507,2020-07-14,0.054
8621,2020-11-11,1.547
264909,2020-05-22,9.170
264362,2019-11-17,0.952
256920,2020-10-17,2.830
255456,2019-12-12,0.924
62776,2019-12-08,0.528
244424,2020-08-12,3.930
798,2021-01-22,0.211
190642,2020-09-29,0.551
245375,2019-10-29,0.606
245344,2019-11-17,0.017
244680,2021-03-22,10.260
256156,2019-06-08,2.130
178474,2019-11-04,0.626
250199,2019-10-28,4.861
256872,2021-02-23,0.682
13024,2020-01-25,2.150
6564,2020-01-09,0.513
17980,2019-01-23,0.202
244899,2020-05-13,0.225
7038,2020-04-21,0.162
13537,2019-10-20,1.578
256508,2020-04-20,0.000
6562,2020-03-23,0.167
10065,2019-02-03,0.000
6547,2020-10-22,0.329
199151,2020-01-06,0.089
248365,2020-12-21,1.220
13537,2020-01-08,0.827
37358,2020-06-01,0.000
76953,2021-02-26,0.495
151568,2020-03-31,4.581
6555,2020-08-17,0.549
244680,2020-03-03,3.708
255813,2020-04-30,0.012
244391,2020-04-23,0.630
9493,2020-03-10,0.427
107142,2019-07-13,0.260
260185,2020-04-08,13.097
11741,2019-09-02,1.626
150462,2021-03-10,0.289
5802,2021-01-02,0.000
250781,2019-04-04,0.090
107142,2020-10-09,0.000
124089,2019-12-16,2.770
11741,2020-12-21,1.906
252287,2020-05-18,0.337
61120,2020-05-15,0.865
1004,2020-11-12,0.500
3941,2020-02-03,0.000
261616,2020-04-20,0.104
250387,2020-08-12,0.767
17194,2020-10-19,1.360
245314,2020-08-02,7.180
260221,2020-01-31,1.050
152526,2020-12-14,0.000
150998,2020-10-18,1.348
136212,2020-05-15,1.876
128194,2020-06-09,0.578
1004,2019-07-15,0.746
3592,2020-10-12,0.000
67113,2019-10-27,0.152
175989,2020-06-27,0.000
42923,2018-12-21,0.812
13537,2020-12-31,1.431
269752,2020-01-24,0.552
256924,2019-10-31,0.783
244424,2019-07-11,29.990
262462,2020-03-14,2.285
29330,2020-01-01,1.019
250781,2019-03-13,0.278
245344,2019-12-09,0.053
256156,2020-02-18,1.690
252388,2019-12-02,147.521
256156,2019-11-19,3.610
9493,2020-02-07,0.403
252388,2019-09-02,112.247
256508,2021-03-21,0.000
245515,2020-10-17,0.145
269089,2020-10-29,0.558
20884,2020-04-15,0.000
268752,2019-02-11,0.776
246066,2020-03-08,4.860
49043,2019-03-01,1.450
6547,2020-07-12,0.648
59449,2020-05-16,1.193
62776,2020-04-14,0.790
20753,2019-02-27,0.246
251881,2021-01-10,1.472
246272,2020-10-02,0.484
250567,2019-06-12,7.025
9953,2019-10-10,0.671
11741,2019-07-06,1.392
17592,2020-06-02,0.143
267585,2020-10-16,1.308
11741,2020-12-25,1.177
256947,2020-09-26,12.790
865,2020-01-04,0.291
6562,2020-01-26,0.189
248098,2020-11-10,0.302
144822,2019-02-25,0.482
248224,2020-11-15,2.734
97302,2019-04-17,0.103
246272,2019-05-11,0.065
250567,2020-08-05,9.180
7087,2020-03-06,0.000
244905,2020-07-06,0.668
250199,2019-09-26,3.205
74697,2020-01-12,0.688
253374,2020-03-26,0.105
250095,2020-07-17,0.956
246596,2020-08-23,0.388
17980,2019-12-14,0.788
248098,2019-09-05,0.955
249971,2019-01-15,5.400
250197,2021-01-26,5.508
6507,2020-07-24,0.011
250195,2021-01-14,3.981
249860,2021-01-28,1.307
1004,2021-01-19,0.349
135191,2020-11-01,1.048
11741,2019-07-18,1.100
264909,2020-09-29,0.140
20550,2019-05-23,0.112
273259,2020-02-29,0.152
11741,2020-10-03,1.394
55005,2019-02-16,1.984
248917,2019-06-28,16.723
250567,2020-10-12,8.849
11741,2019-07-28,1.591
272294,2020-07-23,0.143
245332,2020-03-01,0.000
136212,2020-02-26,1.484
250097,2020-06-16,3.657
246516,2020-11-08,0.001
250197,2019-07-18,4.470
5493,2020-06-14,0.000
283681,2020-09-11,1.992
251881,2019-10-16,1.565
65583,2019-04-16,1.387
131327,2020-08-10,0.000
236489,2020-11-19,0.130
20753,2020-06-05,0.417
13155,2019-03-19,0.162
244899,2021-03-08,1.189
6507,2020-05-05,0.008
5493,2020-05-22,0.000
106646,2020-08-31,0.154
256972,2020-07-15,0.040
76953,2019-01-22,0.147
56988,2020-01-29,0.000
255456,2020-01-04,0.497
37309,2020-11-16,28.873
246516,2021-02-19,0.000
76953,2020-11-16,0.353
5802,2019-09-13,0.288
34770,2021-03-12,0.737
244391,2020-03-07,0.615
9953,2021-01-29,0.334
250252,2020-02-08,0.100
44788,2020-04-23,0.813
251704,2019-03-08,8.470
80569,2019-11-16,0.505
6507,2020-03-30,0.017
248696,2019-09-13,0.129
254695,2020-05-05,0.214
261206,2020-12-02,0.835
187989,2020-01-29,0.282
262462,2020-02-16,1.395
260417,2020-04-29,0.887
245344,2020-04-03,0.027
257225,2020-07-11,0.003
102613,2019-12-25,0.000
97105,2019-04-17,0.528
58197,2020-05-27,0.409
17194,2021-01-29,1.235
184099,2019-08-06,4.736
135605,2020-06-05,0.396
250781,2019-06-21,0.056
33447,2019-06-22,0.729
33447,2019-05-31,0.702
274411,2021-01-02,0.304
115301,2020-01-05,1.771
261206,2020-12-25,1.324
5479,2020-08-24,0.305
199151,2020-01-28,0.000
7087,2020-04-02,0.000
7038,2020-06-06,0.166
139515,2019-06-19,0.425
256502,2020-11-01,0.000
144822,2019-04-21,0.399
260283,2020-11-17,1.070
116228,2020-02-24,0.644
33804,2019-11-17,1.118
244858,2019-04-16,2.558
248917,2021-02-08,5.988
65583,2020-12-18,0.356
244858,2020-06-13,1.665
150462,2020-06-22,0.302
269752,2019-01-13,0.456
256970,2021-03-01,0.117
261986,2019-10-29,1.004
37358,2019-11-11,0.002
139516,2020-08-12,55.749
264909,2020-10-01,0.130
250255,2020-06-10,5.156
16129,2020-02-08,0.335
798,2019-10-26,0.772
250195,2020-04-18,4.554
263567,2020-03-19,3.590
272294,2021-03-12,0.179
244680,2019-09-14,0.687
107431,2020-11-11,66.984
244905,2019-12-29,0.713
251704,2020-02-07,10.670
69500,2020-12-01,0.557
179630,2021-02-16,0.000
262259,2019-12-03,0.820
245344,2020-07-04,0.133
253208,2020-11-07,1.363
13155,2018-12-12,0.214
44788,2020-07-03,1.023
139515,2020-11-21,0.914
3941,2020-09-20,0.010
262259,2020-10-18,0.785
56988,2020-07-15,0.005
274411,2020-03-19,0.173
24294,2020-01-28,0.475
250199,2020-01-05,4.634
56796,2019-12-26,0.466
256972,2019-03-02,0.140
246272,2020-04-04,2.138
199151,2020-06-25,0.253
29330,2021-01-28,0.792
6555,2020-08-31,0.504
32383,2020-06-14,0.000
716,2020-01-21,0.778
29330,2019-11-01,0.722
33804,2020-02-16,0.553
247000,2021-02-15,1.465
72238,2020-02-11,0.117
274411,2019-05-06,0.137
1004,2019-02-21,0.646
262835,2020-12-29,3.604
8621,2020-01-23,1.421
245105,2019-05-15,7.820
8621,2019-03-09,1.539
256502,2019-06-05,0.000
115301,2019-09-09,1.479
9493,2020-08-11,0.000
34770,2021-01-28,0.691
116228,2019-11-28,0.380
250202,2019-08-29,2.826
80569,2021-01-06,0.344
80569,2020-12-27,0.583
187989,2020-05-31,0.848
257172,2020-01-16,0.295
250175,2020-05-13,3.560
6547,2020-08-04,0.013
10481,2019-12-27,0.262
245332,2020-07-30,0.000
246516,2020-03-21,0.000
249660,2019-11-20,1.214
250567,2020-03-30,4.433
256156,2020-08-08,1.720
244905,2020-03-22,0.167
102613,2020-04-27,0.000
254538,2020-06-29,0.338
65583,2019-05-08,1.479
107142,2019-03-28,0.175
248128,2020-12-01,0.330
5479,2019-07-11,0.461
33447,2021-02-27,0.842
283681,2020-08-10,2.563
151568,2020-06-24,4.728
20753,2019-01-09,0.321
135191,2019-06-19,0.614
32053,2020-08-13,435.364
20884,2019-11-03,0.007
11741,2020-11-04,1.532
9953,2019-08-13,0.303
56796,2020-10-28,1.166
264909,2019-06-10,0.130
261517,2020-02-06,0.000
97302,2020-10-07,0.178
245515,2020-12-14,0.490
5479,2020-12-30,0.527
260185,2020-10-03,1.721
256969,2019-07-24,0.429
139513,2020-05-19,65.760
16581,2019-10-28,0.390
20681,2019-12-06,0.140
69535,2019-11-21,0.862
250567,2020-11-03,6.919
13942,2020-03-22,1.708
256920,2020-12-26,2.570
175989,2020-09-14,0.001
249943,2018-12-11,33.830
250781,2019-05-29,0.061
260726,2019-04-25,0.001
262835,2020-09-01,4.406
250202,2021-01-08,2.676
37302,2020-04-02,0.000
123533,2019-01-29,0.248
33447,2021-01-26,0.764
20342,2020-04-18,1.225
187271,2019-01-25,0.971
246272,2020-09-09,0.935
244899,2021-02-27,0.040
253208,2019-09-12,0.460
55005,2020-11-15,0.862
128194,2020-08-15,0.611
20342,2019-11-06,1.767
5479,2019-08-02,6.239
9493,2020-12-25,0.000
179922,2021-02-19,0.404
32383,2019-07-14,0.000
128194,2020-08-27,0.462
150998,2019-06-06,0.819
269416,2019-10-29,0.321
248098,2019-11-02,11.786
246516,2020-09-08,0.000
6547,2020-06-16,0.591
33447,2021-01-04,1.195
256947,2020-08-22,31.510
29330,2020-03-20,0.918
248128,2020-11-12,1.241
256508,2020-05-13,0.000
274411,2019-05-20,0.467
54212,2020-11-08,0.746
253177,2020-08-20,1.340
144822,2019-05-04,0.596
245317,2021-01-05,0.126
259866,2020-10-18,1.224
262259,2020-06-03,0.615
245958,2020-03-31,0.630
246516,2021-01-14,0.001
106646,2019-07-31,0.314
244680,2020-05-27,12.731
249971,2020-07-16,610.000
17592,2020-08-21,0.299
260185,2021-01-13,20.994
246596,2019-10-16,0.492
97302,2019-08-24,0.174
32383,2021-02-26,0.001
13942,2018-12-15,1.052
139516,2020-07-23,58.719
249943,2019-01-03,32.970
245375,2019-10-06,0.023
16581,2020-10-09,0.352
136212,2020-08-08,2.093
24294,2019-07-12,0.890
181113,2020-09-30,0.000
261616,2020-06-27,45.056
199151,2021-01-24,0.317
13784,2020-12-03,1.582
139513,2021-03-14,60.610
269416,2020-03-05,0.412
139517,2020-01-28,74.268
151213,2019-07-23,0.351
250197,2020-12-25,5.295
269089,2019-09-29,0.918
55005,2020-07-26,0.916
249397,2020-04-28,9.024
24294,2020-08-13,0.390
250199,2020-08-03,4.047
250574,2020-02-29,0.990
179630,2020-05-14,0.000
13942,2019-02-08,1.423
171301,2021-02-24,0.606
187271,2019-05-02,0.729
11741,2020-08-19,2.949
247389,2020-07-24,1.444
33447,2020-11-07,2.520
798,2020-02-23,0.396
135191,2020-11-10,0.572
139513,2021-02-19,54.149
135605,2020-06-27,0.242
181113,2019-12-25,0.000
244391,2020-06-04,1.181
54212,2021-03-13,0.854
267585,2020-11-17,1.546
268752,2019-03-15,1.486
139514,2021-01-31,1.951
54212,2019-10-07,0.000
255456,2019-09-20,0.647
245375,2019-05-12,0.023
249860,2019-02-19,2.360
272294,2020-08-11,0.282
150462,2018-12-14,0.559
263623,2020-07-16,11.260
245375,2019-06-03,0.740
267585,2018-12-31,11.060
250095,2019-12-12,0.899
256972,2019-01-10,0.250
71392,2018-12-24,0.958
250097,2020-01-10,3.554
123533,2020-03-21,0.383
11741,2020-06-28,1.697
249897,2018-12-20,318.410
251881,2018-12-26,0.419
